,Date,Locations affected,Number of positive employees,Number of positive students
20,2021-08-20,Walter Pownall Service Center,1,0
21,2021-08-19,Academie Da Vinci,0,1
22,2021-08-19,Administration Building,1,0
23,2021-08-19,Azalea Elementary School,0,1
24,2021-08-19,Azalea Middle School,0,1
0,2021-08-19,Bardmoor Elementary School,0,1
1,2021-08-19,Bauder Elementary School,0,2
2,2021-08-19,Bay Point Elementary School,1,4
3,2021-08-19,Bay Point Middle School,0,1
4,2021-08-19,Bay Vista Fundamental Elementary School,0,2
5,2021-08-19,Bayside High School,0,1
6,2021-08-19,Blanton Elementary School,0,1
7,2021-08-19,Boca Ciega High School,0,4
8,2021-08-19,Brooker Creek Elementary School,1,1
9,2021-08-19,Calvin Hunsinger School,1,0
10,2021-08-19,Campbell Park Elementary School,0,1
11,2021-08-19,Carwise Middle School,0,1
12,2021-08-19,Chi Chi Rodriguez Academy,0,1
13,2021-08-19,Clearwater High School,0,1
14,2021-08-19,Cross Bayou Elementary School,0,1
15,2021-08-19,Curlew Creek Elementary School,0,1
16,2021-08-19,Curtis Fundamental Elementary School,0,2
17,2021-08-19,Cypress Woods Elementary School,0,1
18,2021-08-19,Discovery Academy of Science,1,2
19,2021-08-19,Dunedin Elementary School,1,0
20,2021-08-19,Dunedin High School,0,1
21,2021-08-19,East Lake High School,0,6
22,2021-08-19,Eisenhower Elementary School,0,2
23,2021-08-19,Elisa Nelson Elementary School,0,1
24,2021-08-19,Fairmount Park Elementary School,0,1
0,2021-08-19,Forest Lakes Elementary School,0,1
1,2021-08-19,Gibbs High School,0,2
2,2021-08-19,High Point Elementary School,0,1
3,2021-08-19,Hollins High School,0,1
4,2021-08-19,James B. Sanderlin K-8,0,2
5,2021-08-19,John Hopkins Middle School,0,1
6,2021-08-19,Kings Highway Elementary School,0,1
7,2021-08-19,Lakewood Elementary School,0,3
8,2021-08-19,Lakewood High School,0,3
9,2021-08-19,Largo High School,0,7
10,2021-08-19,Largo Middle School,0,3
11,2021-08-19,Madeira Beach Fundamental,0,2
12,2021-08-19,Marjorie Rawlings Elementary School,0,1
13,2021-08-19,McMullen-Booth Elementary School,0,1
14,2021-08-19,Meadowlawn Middle School,0,3
15,2021-08-19,Melrose Elementary School,0,4
16,2021-08-19,Midtown Academy,0,1
17,2021-08-19,Mildred Helms Elementary School,0,2
18,2021-08-19,Mount Vernon Elementary School,1,2
19,2021-08-19,Northeast High School,0,4
20,2021-08-19,Northwest Elementary School,2,0
21,2021-08-19,Oakhurst Elementary School,0,1
22,2021-08-19,Orange Grove Elementary School,0,1
23,2021-08-19,Osceola Fundamental High School,0,6
24,2021-08-19,Osceola Middle School,0,3
0,2021-08-19,Pace Center for Girls,0,1
1,2021-08-19,Palm Harbor University High School,0,4
2,2021-08-19,Pasadena Fundamental Elementary School,0,1
3,2021-08-19,Perkins Elementary School,0,3
4,2021-08-19,Pinellas Central Elementary School,0,1
5,2021-08-19,Pinellas Park Elementary School,0,1
6,2021-08-19,Pinellas Park High School,0,10
7,2021-08-19,Pinellas Park Middle School,0,4
8,2021-08-19,Pinellas Technical College Clearwater,1,2
9,2021-08-19,Pinellas Technical College St. Petersburg,0,1
10,2021-08-19,Plato Academy Palm Harbor,0,2
11,2021-08-19,Plato Academy St. Petersburg,0,1
12,2021-08-19,Plumb Elementary School,0,1
13,2021-08-19,Ponce de Leon Elementary School,0,1
14,2021-08-19,Safety Harbor Elementary School,2,0
15,2021-08-19,Safety Harbor Middle School,1,0
16,2021-08-19,Sawgrass Lake Elementary School,0,1
17,2021-08-19,Seminole High School,0,1
18,2021-08-19,Seminole Middle School,0,1
19,2021-08-19,Seventy-Fourth Street Elementary School,0,1
20,2021-08-19,Sexton Elementary School,0,2
21,2021-08-19,Shore Acres Elementary School,1,1
22,2021-08-19,Skyview Elementary School,0,2
23,2021-08-19,Southern Oak Elementary School,0,1
24,2021-08-19,St. Petersburg High School,0,3
0,2021-08-19,Starkey Elementary School,0,1
1,2021-08-19,Tarpon Springs Middle School,0,1
2,2021-08-19,Thurgood Marshall Fundamental Middle School,0,1
3,2021-08-19,Tyrone Middle School,0,2
4,2021-08-19,Walsingham Elementary School,0,1
5,2021-08-19,Walter Pownall Service Center,4,0
6,2021-08-18,Anona Elementary School,0,1
7,2021-08-18,Bauder Elementary School,0,1
8,2021-08-18,Bay Point Middle School,0,1
9,2021-08-18,Bay Vista Fundamental Elementary School,0,1
10,2021-08-18,Bear Creek Elementary School,0,1
11,2021-08-18,Belcher Elementary School,0,2
12,2021-08-18,Belleair Elementary School,0,1
13,2021-08-18,Boca Ciega High School,0,1
14,2021-08-18,Carwise Middle School,1,1
15,2021-08-18,Countryside High School,0,3
16,2021-08-18,Cypress Woods Elementary School,1,0
17,2021-08-18,Douglas Jamerson Elementary School,0,1
18,2021-08-18,Dunedin High School,0,3
19,2021-08-18,Dunedin Highland Middle School,1,0
20,2021-08-18,East Lake High School,0,5
21,2021-08-18,Forest Lakes Elementary School,0,1
22,2021-08-18,Fuguitt Elementary School,0,1
23,2021-08-18,Garrison-Jones Elementary School,0,1
24,2021-08-18,Gulfport Elementary School,0,1
0,2021-08-18,High Point Elementary School,0,2
1,2021-08-18,Hollins High School,0,1
2,2021-08-18,James B. Sanderlin K-8,0,1
3,2021-08-18,Lakewood High School,0,1
4,2021-08-18,Largo High School,0,3
5,2021-08-18,Largo Middle School,0,2
6,2021-08-18,Lealman Innovation Academy,0,1
7,2021-08-18,Leila Davis Elementary School,0,1
8,2021-08-18,Lynch Elementary School,0,3
9,2021-08-18,Madeira Beach Fundamental,1,2
10,2021-08-18,Maximo Elementary School,0,1
11,2021-08-18,McMullen-Booth Elementary School,0,2
12,2021-08-18,Melrose Elementary School,0,1
13,2021-08-18,Mildred Helms Elementary School,0,2
14,2021-08-18,Morgan Fitzgerald Middle School,0,1
15,2021-08-18,Mount Vernon Elementary School,2,0
16,2021-08-18,New Heights Elementary School,0,1
17,2021-08-18,Nina Harris ESE,0,2
18,2021-08-18,Northeast High School,0,1
19,2021-08-18,Northwest Elementary School,0,2
20,2021-08-18,Oak Grove Middle School,1,2
21,2021-08-18,Oakhurst Elementary School,0,1
22,2021-08-18,Oldsmar Elementary School,0,1
23,2021-08-18,Orange Grove Elementary School,0,1
24,2021-08-18,Osceola Fundamental High School,0,1
0,2021-08-18,Ozona Elementary School,0,2
1,2021-08-18,Palm Harbor Middle School,0,1
2,2021-08-18,Palm Harbor University High School,0,7
3,2021-08-18,Perkins Elementary School,1,3
4,2021-08-18,Pinellas Academy of Math and Science,0,2
5,2021-08-18,Pinellas Central Elementary School,0,1
6,2021-08-18,Pinellas Gulf Coast Academy,0,1
7,2021-08-18,Pinellas Park Elementary School,0,1
8,2021-08-18,Pinellas Park Middle School,0,1
9,2021-08-18,Pinellas Technical College Clearwater,0,1
10,2021-08-18,Pinellas Technical College St. Petersburg,0,2
11,2021-08-18,Plato Academy Clearwater,0,3
12,2021-08-18,Plato Academy Palm Harbor,0,1
13,2021-08-18,Ponce de Leon Elementary School,0,1
14,2021-08-18,Richard L. Sanders School,0,1
15,2021-08-18,Safety Harbor Middle School,0,1
16,2021-08-18,San Jose Elementary School,0,1
17,2021-08-18,Sandy Lane Elementary School,0,1
18,2021-08-18,Seminole High School,0,1
19,2021-08-18,Seminole Middle School,0,1
20,2021-08-18,Sexton Elementary School,0,1
21,2021-08-18,Shore Acres Elementary School,0,1
22,2021-08-18,Skyview Elementary School,0,1
23,2021-08-18,St. Petersburg High School,1,1
24,2021-08-18,Tarpon Springs High School,0,1
0,2021-08-18,Tarpon Springs Middle School,1,2
1,2021-08-18,Thurgood Marshall Fundamental Middle School,0,1
2,2021-08-18,Tyrone Middle School,0,1
3,2021-08-18,Walter Pownall Service Center,3,0
4,2021-08-17,Academie Da Vinci,0,2
5,2021-08-17,Administration Building,2,0
6,2021-08-17,Azalea Elementary School,0,1
7,2021-08-17,Bauder Elementary School,1,0
8,2021-08-17,Bay Point Middle School,1,0
9,2021-08-17,Belcher Elementary School,1,2
10,2021-08-17,Boca Ciega High School,0,2
11,2021-08-17,Brooker Creek Elementary School,0,2
12,2021-08-17,Campbell Park Elementary School,1,0
13,2021-08-17,Carwise Middle School,1,1
14,2021-08-17,Countryside High School,0,1
15,2021-08-17,Curtis Fundamental Elementary School,0,1
16,2021-08-17,Cypress Woods Elementary School,2,2
17,2021-08-17,Discovery Academy of Science,2,0
18,2021-08-17,Dunedin Elementary School,1,0
19,2021-08-17,Dunedin High School,0,2
20,2021-08-17,Dunedin Highland Middle School,0,1
21,2021-08-17,East Lake High School,0,7
22,2021-08-17,East Lake Middle School,1,0
23,2021-08-17,Eisenhower Elementary School,0,2
24,2021-08-17,Elisa Nelson Elementary School,0,1
0,2021-08-17,Fairmount Park Elementary School,0,1
1,2021-08-17,Fuguitt Elementary School,0,1
2,2021-08-17,Garrison-Jones Elementary School,0,1
3,2021-08-17,Gibbs High School,1,0
4,2021-08-17,Gulfport Elementary School,0,1
5,2021-08-17,High Point Elementary School,1,0
6,2021-08-17,Highland Lakes Elementary School,0,2
7,2021-08-17,Hollins High School,1,0
8,2021-08-17,James B. Sanderlin K-8,0,4
9,2021-08-17,Largo High School,0,1
10,2021-08-17,Largo Middle School,0,2
11,2021-08-17,Lealman Innovation Academy,1,0
12,2021-08-17,Madeira Beach Fundamental,1,2
