Date,Locations affected,Number of positive employees,Number of positive students
1/2/2021,Pinellas Technical College St. Petersburg,1,3
1/2/2021,Plumb Elementary School,2,1
1/2/2021,Ponce de Leon Elementary School,2,2
1/2/2021,Richard O. Jacobson Technical High School,1,1
1/2/2021,Safety Harbor Middle School,4,10
1/2/2021,Sandy Lane Elementary School,5,2
1/2/2021,Sawgrass Lake Elementary School,3,2
1/2/2021,Seminole Elementary School,0,1
1/2/2021,Seminole High School,3,13
1/2/2021,Seminole Middle School,3,4
1/2/2021,Seventy-Fourth Street Elementary School,0,1
1/2/2021,Shore Acres Elementary School,2,1
1/2/2021,Skycrest Elementary School,3,1
1/2/2021,Skyview Elementary School,1,1
1/2/2021,Southern Oak Elementary School,1,2
1/2/2021,St. Petersburg High School,3,8
1/2/2021,Starkey Elementary School,0,1
1/2/2021,Sunset Hills Elementary School,0,2
1/2/2021,Tarpon Springs Elementary School,1,0
1/2/2021,Tarpon Springs Fundamental Elementary School,1,1
1/2/2021,Tarpon Springs High School,0,9
1/2/2021,Tarpon Springs Middle School,0,3
1/2/2021,Thurgood Marshall Fundamental Middle School,1,1
1/2/2021,Tyrone Middle School,3,4
1/2/2021,Walsingham Elementary School,3,0
1/2/2021,Walter Pownall Service Center,12,0
1/2/2021,Westgate Elementary School,1,3
1/2/2021,Woodlawn Elementary School,1,0
1/2/2021,Walter Pownall Service Center,1,0
12/18/2020,Anona Elementary School,0,1
12/18/2020,Blanton Elementary School,1,0
12/18/2020,Clearwater High School,0,1
12/18/2020,Cypress Woods Elementary School,0,2
12/18/2020,Dunedin High School,0,1
12/18/2020,Dunedin Highland Middle School,0,1
12/18/2020,East Lake High School,0,3
12/18/2020,Elisa Nelson Elementary School,0,1
12/18/2020,Gulf Beaches Elementary School,0,1
12/18/2020,James B. Sanderlin K-8,0,1
12/18/2020,Largo High School,0,2
12/18/2020,Lealman Innovation Academy,1,0
12/18/2020,Madeira Beach Fundamental,0,2
12/18/2020,Orange Grove Elementary School,0,1
12/18/2020,Osceola Middle School,0,1
12/18/2020,Pinellas Park Middle School,1,0
12/18/2020,Pinellas Technical College St. Petersburg,0,1
12/18/2020,Seminole High School,0,1
12/18/2020,Seventy-Fourth Street Elementary School,1,0
12/18/2020,Skyview Elementary School,0,1
12/18/2020,St. Petersburg High School,0,1
12/18/2020,Sunset Hills Elementary School,0,1
12/18/2020,Tarpon Springs High School,0,1
12/18/2020,Tarpon Springs Middle School,0,1
12/18/2020,Woodlawn Elementary School,0,1
12/17/2020,Bardmoor Elementary School,0,1
12/17/2020,Belcher Elementary School,0,1
12/17/2020,Blanton Elementary School,1,1
12/17/2020,Brooker Creek Elementary School,0,1
12/17/2020,Dunedin High School,1,0
12/17/2020,Forest Lakes Elementary School,0,1
12/17/2020,John Hopkins Middle School,0,1
12/17/2020,Paul B. Stephens ESE Center,1,0
12/17/2020,Plumb Elementary School,0,1
12/17/2020,Sunset Hills Elementary School,0,1
12/17/2020,Tarpon Springs High School,0,4
12/17/2020,Tarpon Springs Middle School,0,1
12/17/2020,Walter Pownall Service Center,2,0
12/17/2020,Westgate Elementary School,0,1
12/17/2020,Woodlawn Elementary School,0,1
12/16/2020,Boca Ciega High School,0,1
12/16/2020,Dunedin High School,1,0
12/16/2020,Dunedin Highland Middle School,0,1
12/16/2020,Marjorie Rawlings Elementary School,0,1
12/16/2020,Melrose Elementary School,1,0
12/16/2020,Pinellas Park High School,0,1
12/16/2020,Safety Harbor Middle School,0,1
12/16/2020,Seminole High School,0,1
12/16/2020,Sexton Elementary School,1,0
12/16/2020,Skyview Elementary School,0,1
12/16/2020,Woodlawn Elementary School,0,1
12/15/2020,Dunedin High School,0,1
12/15/2020,Gibbs High School,0,1
12/15/2020,Plato Academy St. Petersburg Charter School,0,1
12/15/2020,Sawgrass Lake Elementary School,0,1
12/15/2020,Seminole High School,1,0
12/15/2020,Walter Pownall Service Center,1,0
12/14/2020,Administration Building,4,0
12/14/2020,Athenian Academy Charter School,1,0
12/14/2020,Bay Point Middle School,0,1
12/14/2020,Bay Vista Fundamental Elementary School,0,1
12/14/2020,Belleair Elementary School,0,1
12/14/2020,Boca Ciega High School,2,0
12/14/2020,Brooker Creek Elementary School,0,1
12/14/2020,Cypress Woods Elementary School,1,0
12/14/2020,Dunedin High School,0,2
12/14/2020,East Lake High School,0,2
12/14/2020,Gibbs High School,1,0
12/14/2020,Highland Lakes Elementary School,0,1
12/14/2020,Hollins High School,0,2
12/14/2020,Lakeview Fundamental Elementary School,0,1
12/14/2020,Leila Davis Elementary School,0,1
12/14/2020,Marjorie Rawlings Elementary School,1,0
12/14/2020,Midtown Academy,0,1
12/14/2020,Northeast High School,1,0
12/14/2020,Palm Harbor University High School,1,0
12/14/2020,Pinellas Central Elementary School,0,1
12/14/2020,Pinellas Park High School,0,2
12/14/2020,Pinellas Technical College St. Petersburg,0,1
12/14/2020,Plato Academy Clearwater Charter School,0,1
12/14/2020,Plato Academy Tarpon Springs Charter School,0,2
12/14/2020,Safety Harbor Elementary School,1,0
12/14/2020,Sandy Lane Elementary School,0,1
12/14/2020,Seminole Middle School,0,1
12/14/2020,Sexton Elementary School,0,2
12/14/2020,Skycrest Elementary School,0,1
12/14/2020,Sunset Hills Elementary School,0,1
12/14/2020,Tarpon Springs Elementary School,1,1
12/14/2020,Tarpon Springs High School,0,1
12/14/2020,Tarpon Springs Middle School,0,1
12/14/2020,Westgate Elementary School,0,1
12/14/2020,Woodlawn Elementary School,1,0
12/11/2020,Administration Building,1,0
12/11/2020,Bauder Elementary School,0,1
12/11/2020,Boca Ciega High School,0,1
12/11/2020,Dunedin Highland Middle School,0,1
12/11/2020,East Lake Middle School,0,1
12/11/2020,Elisa Nelson Elementary School,1,1
12/11/2020,James B. Sanderlin K-8,0,1
12/11/2020,Largo High School,0,1
12/11/2020,Marjorie Rawlings Elementary School,1,0
12/11/2020,Maximo Elementary School,1,0
12/11/2020,Osceola Fundamental High School,0,2
12/11/2020,Osceola Middle School,0,1
12/11/2020,Ponce de Leon Elementary School,1,0
12/11/2020,Sandy Lane Elementary School,0,1
12/11/2020,Seminole Elementary School,0,1
12/11/2020,Skycrest Elementary School,0,1
12/10/2020,Anona Elementary School,1,0
12/10/2020,East Lake High School,0,1
12/10/2020,Frontier Elementary School,1,0
12/10/2020,Marjorie Rawlings Elementary School,0,2
12/10/2020,Northeast High School,0,1
12/10/2020,Pinellas Park Elementary School,1,0
12/10/2020,Plato Academy Clearwater Charter School,1,0
12/10/2020,Plato Academy St. Petersburg Charter School,0,1
12/10/2020,Seventy-Fourth Street Elementary School,0,1
12/10/2020,St. Petersburg High School,0,1
12/10/2020,Walter Pownall Service Center,1,0
12/9/2020,Bardmoor Elementary School,0,1
12/9/2020,Brooker Creek Elementary School,0,1
12/9/2020,Cypress Woods Elementary School,2,0
12/9/2020,Dunedin High School,1,0
12/9/2020,Gulfport Elementary School,1,0
12/9/2020,Madeira Beach Fundamental,0,1
12/9/2020,Meadowlawn Middle School,0,1
12/9/2020,Midtown Academy,0,1
12/9/2020,Oakhurst Elementary School,1,0
12/9/2020,Osceola Fundamental High School,1,1
12/9/2020,Osceola Middle School,0,1
12/9/2020,Starkey Elementary School,1,0
12/8/2020,Academie Da Vinci Charter School,0,1
12/8/2020,Clearwater High School,0,1
12/8/2020,Largo High School,0,2
12/8/2020,McMullen-Booth Elementary School,0,1
12/8/2020,Palm Harbor University High School,0,1
12/8/2020,Richard L. Sanders School,1,0
12/8/2020,Sandy Lane Elementary School,1,0
12/8/2020,Starkey Elementary School,1,0
12/7/2020,Administration Building,2,0
12/7/2020,Bardmoor Elementary School,0,2
12/7/2020,Bay Point Elementary School,1,0
12/7/2020,Blanton Elementary School,1,0
12/7/2020,Boca Ciega High School,1,3
12/7/2020,Campbell Park Elementary School,2,1
12/7/2020,Clearview Adult Education Center,0,1
12/7/2020,Countryside High School,0,1
12/7/2020,East Lake High School,1,1
12/7/2020,Elisa Nelson Elementary School,0,1
12/7/2020,Hollins High School,0,1
12/7/2020,Lake St. George Elementary School,0,1
12/7/2020,Lakeview Fundamental Elementary School,0,1
12/7/2020,Lakewood High School,0,1
12/7/2020,Largo Middle School,1,0
12/7/2020,Marjorie Rawlings Elementary School,0,1
12/7/2020,Northeast High School,0,1
12/7/2020,Orange Grove Elementary School,0,1
12/7/2020,Osceola Fundamental High School,0,1
12/7/2020,Osceola Middle School,1,0
12/7/2020,Pinellas Park High School,0,1
12/7/2020,Pinellas Technical College Clearwater,0,1
12/7/2020,Plumb Elementary School,0,2
12/7/2020,Safety Harbor Middle School,0,1
12/7/2020,San Jose Elementary School,0,1
12/7/2020,Sandy Lane Elementary School,3,0
12/7/2020,Seminole High School,1,0
12/7/2020,Shore Acres Elementary School,0,1
12/7/2020,Skycrest Elementary School,0,1
12/7/2020,St. Petersburg Collegiate Charter High School South Campus,0,1
12/7/2020,St. Petersburg High School,1,2
12/7/2020,Sunset Hills Elementary School,1,0
12/7/2020,Thurgood Marshall Fundamental Middle School,0,1
12/7/2020,Tyrone Middle School,0,1
12/7/2020,Walter Pownall Service Center,1,0
12/7/2020,Woodlawn Elementary School,1,0
12/4/2020,Administration Building,1,0
12/4/2020,Brooker Creek Elementary School,0,1
12/4/2020,Clearwater High School,0,1
12/4/2020,Douglas Jamerson Elementary School,0,1
12/4/2020,Gulf Beaches Elementary School,2,1
12/4/2020,Lakewood High School,0,1
12/4/2020,Largo High School,0,4
12/4/2020,Lynch Elementary School,0,1
12/4/2020,Madeira Beach Fundamental,1,1
12/4/2020,Meadowlawn Middle School,0,1
12/4/2020,Morgan Fitzgerald Middle School,1,0
12/4/2020,Northwest Elementary School,0,1
12/4/2020,Oldsmar Elementary School,1,0
12/4/2020,Palm Harbor University High School,0,2
12/4/2020,Plato Academy Palm Harbor Charter School,0,2
12/4/2020,Plato Academy Pinellas Park Charter School,0,1
12/4/2020,Sandy Lane Elementary School,1,0
12/4/2020,Sawgrass Lake Elementary School,0,1
12/4/2020,Seminole Elementary School,0,1
12/4/2020,Seminole High School,0,1
12/4/2020,Seminole Middle School,0,1
12/4/2020,St. Petersburg Collegiate Charter High School South Campus,0,1
12/4/2020,Thurgood Marshall Fundamental Middle School,0,1
12/4/2020,Tyrone Middle School,1,1
12/4/2020,Walter Pownall Service Center,1,0
12/3/2020,Bay Vista Fundamental Elementary School,0,1
12/3/2020,East Lake High School,2,0
12/3/2020,High Point Elementary School,1,0
12/3/2020,Largo High School,0,1
12/3/2020,Madeira Beach Fundamental,1,0
12/3/2020,Meadowlawn Middle School,1,1
12/3/2020,Orange Grove Elementary School,1,0
12/3/2020,Pasadena Fundamental Elementary School,0,1
12/3/2020,Pinellas Academy of Math and Science Charter,1,0
12/3/2020,Pinellas Park High School,0,1
12/3/2020,Pinellas Technical College St. Petersburg,0,1
12/3/2020,Plato Academy Tarpon Springs Charter School,0,2
12/3/2020,Sandy Lane Elementary School,1,0
12/3/2020,Skyview Elementary School,1,0
12/3/2020,Tarpon Springs High School,1,0
12/2/2020,Administration Building,1,0
12/2/2020,Bay Point Elementary School,0,1
12/2/2020,Curlew Creek Elementary School,0,1
12/2/2020,Curtis Fundamental Elementary School,0,1
12/2/2020,Largo High School,0,1
12/2/2020,Lealman Innovation Academy,1,0
12/2/2020,Madeira Beach Fundamental,0,1
12/2/2020,Marjorie Rawlings Elementary School,0,1
12/2/2020,Mildred Helms Elementary School,1,0
12/2/2020,Oak Grove Middle School,0,1
12/2/2020,Osceola Middle School,0,1
12/2/2020,Paul B. Stephens ESE Center,1,0
12/2/2020,Pinellas Park Elementary School,1,0
12/2/2020,Plato Academy Clearwater Charter School,0,1
12/2/2020,Plato Academy St. Petersburg Charter School,0,1
12/2/2020,Plumb Elementary School,0,1
12/2/2020,Richard O. Jacobson Technical High School,0,1
12/2/2020,Safety Harbor Elementary School,0,2
12/2/2020,Seminole Elementary School,0,1
12/2/2020,Seventy-Fourth Street Elementary School,1,0
12/2/2020,Skyview Elementary School,0,1
12/2/2020,Westgate Elementary School,0,1
12/1/2020,Bayside High School,1,0
12/1/2020,Clearwater Intermediate School,1,0
12/1/2020,Countryside High School,1,0
12/1/2020,Curlew Creek Elementary School,0,1
12/1/2020,East Lake High School,0,1
12/1/2020,Largo Middle School,0,1
12/1/2020,Madeira Beach Fundamental,0,3
12/1/2020,Meadowlawn Middle School,0,1
12/1/2020,Northeast High School,0,2
12/1/2020,Pasadena Fundamental Elementary School,1,0
12/1/2020,Seminole Middle School,0,1
12/1/2020,Seventy-Fourth Street Elementary School,0,1
12/1/2020,Westgate Elementary School,0,1
11/30/2020,Eisenhower Elementary School,0,2
11/30/2020,Enterprise Charter High School,1,0
11/30/2020,Palm Harbor University High School,0,1
11/29/2020,Administration Building,2,0
11/29/2020,Bardmoor Elementary School,2,0
11/29/2020,Belcher Elementary School,0,2
11/29/2020,Clearwater Fundamental Middle School,0,2
11/29/2020,Countryside High School,1,0
11/29/2020,Cross Bayou Elementary School,1,0
11/29/2020,Curlew Creek Elementary School,0,1
11/29/2020,Cypress Woods Elementary School,0,1
11/29/2020,Douglas Jamerson Elementary School,1,1
11/29/2020,Dunedin Highland Middle School,1,1
11/29/2020,East Lake Middle School,1,0
11/29/2020,Forest Lakes Elementary School,0,1
11/29/2020,Highland Lakes Elementary School,1,0
11/29/2020,Hollins High School,0,4
11/29/2020,James B. Sanderlin K-8,0,1
11/29/2020,Lake St. George Elementary School,0,1
11/29/2020,Lakeview Fundamental Elementary School,0,1
11/29/2020,Largo High School,0,6
11/29/2020,Madeira Beach Fundamental,0,2
11/29/2020,Maximo Elementary School,1,0
11/29/2020,Nina Harris ESE,1,0
11/29/2020,North Shore Elementary School,0,1
11/29/2020,Northwest Elementary School,1,0
11/29/2020,Oak Grove Middle School,0,2
11/29/2020,Osceola Fundamental High School,0,1
11/29/2020,Ozona Elementary School,1,0
11/29/2020,Pinellas Central Elementary School,0,2
11/29/2020,Pinellas Park Elementary School,1,0
11/29/2020,Pinellas Park High School,0,3
11/29/2020,Pinellas Park Middle School,0,1
11/29/2020,Pinellas Technical College Clearwater,0,1
11/29/2020,Plato Academy Clearwater Charter School,0,2
11/29/2020,Plato Academy Largo Charter School,1,1
11/29/2020,Plato Academy Seminole Charter School,0,1
11/29/2020,Plato Academy Tarpon Springs Charter School,1,3
11/29/2020,Ridgecrest Elementary School,1,1
11/29/2020,Safety Harbor Middle School,1,2
11/29/2020,San Jose Elementary School,0,1
11/29/2020,Sawgrass Lake Elementary School,0,1
11/29/2020,Seminole High School,1,1
11/29/2020,Shore Acres Elementary School,0,1
11/29/2020,St. Petersburg Collegiate Charter High School South Campus,0,1
11/29/2020,Tarpon Springs Elementary School,1,0
11/29/2020,Tarpon Springs High School,0,2
11/29/2020,Tarpon Springs Middle School,1,1
11/29/2020,Thurgood Marshall Fundamental Middle School,0,1
11/29/2020,Walter Pownall Service Center,1,0
11/20/2020,Administration Building,1,0
11/20/2020,Bay Point Elementary School,1,0
11/20/2020,East Lake High School,0,2
11/20/2020,Gibbs High School,0,1
11/20/2020,Lake St. George Elementary School,0,1
11/20/2020,Largo High School,0,1
11/20/2020,Largo Middle School,0,2
11/20/2020,Madeira Beach Fundamental,1,1
11/20/2020,New Heights Elementary School,1,0
11/20/2020,Northeast High School,0,1
11/20/2020,Orange Grove Elementary School,0,1
11/20/2020,Safety Harbor Middle School,1,0
11/20/2020,Westgate Elementary School,0,1
11/19/2020,Clearwater Fundamental Middle School,0,1
11/19/2020,Clearwater High School,0,1
11/19/2020,Dunedin Highland Middle School,0,1
11/19/2020,East Lake High School,0,1
11/19/2020,Lakewood High School,1,0
11/19/2020,McMullen-Booth Elementary School,1,0
11/19/2020,Nina Harris ESE,0,1
11/19/2020,Oak Grove Middle School,0,1
11/19/2020,Pinellas Park High School,0,1
11/19/2020,Plato Academy Largo Charter School,0,2
11/19/2020,Plato Academy Tarpon Springs Charter School,0,3
11/19/2020,San Jose Elementary School,1,0
11/19/2020,Tarpon Springs High School,0,1
11/18/2020,Anona Elementary School,1,0
11/18/2020,Bayside High School,1,0
11/18/2020,Bear Creek Elementary School,0,1
11/18/2020,Clearwater High School,0,1
11/18/2020,Dunedin Highland Middle School,0,1
11/18/2020,Forest Lakes Elementary School,0,1
11/18/2020,James B. Sanderlin K-8,0,1
11/18/2020,John Hopkins Middle School,1,2
11/18/2020,Lealman Avenue Elementary School,1,0
11/18/2020,McMullen-Booth Elementary School,0,1
11/18/2020,Northeast High School,0,1
11/18/2020,Palm Harbor University High School,0,1
11/18/2020,Pinellas Park High School,0,1
11/18/2020,Plato Academy Pinellas Park Charter School,0,2
11/18/2020,Sunset Hills Elementary School,0,1
11/17/2020,Azalea Elementary School,0,1
11/17/2020,Clearwater High School,0,1
11/17/2020,Douglas Jamerson Elementary School,1,0
11/17/2020,James B. Sanderlin K-8,0,2
11/17/2020,Madeira Beach Fundamental,0,2
11/17/2020,Osceola Fundamental High School,0,1
11/17/2020,Pinellas Primary/Prep Academy Charter,1,1
11/17/2020,Pinellas Technical College Clearwater,0,1
11/17/2020,Ridgecrest Elementary School,0,1
11/17/2020,St. Petersburg High School,0,1
11/17/2020,Tarpon Springs High School,0,1
11/17/2020,Tarpon Springs Middle School,0,1
11/16/2020,Bay Vista Fundamental Elementary School,0,2
11/16/2020,Dunedin High School,1,1
11/16/2020,Gibbs High School,1,0
11/16/2020,Gulfport Elementary School,0,1
11/16/2020,Highland Lakes Elementary School,0,1
11/16/2020,Largo Middle School,0,1
11/16/2020,Northeast High School,0,2
11/16/2020,Osceola Fundamental High School,0,1
11/16/2020,Palm Harbor University High School,1,0
11/16/2020,Paul B. Stephens ESE Center,1,0
11/16/2020,Pinellas Park Elementary School,0,1
11/16/2020,Pinellas Secondary School,1,0
11/16/2020,Pinellas Technical College St. Petersburg,0,1
11/16/2020,Plumb Elementary School,0,1
11/16/2020,Seminole High School,1,0
11/16/2020,Seventy-Fourth Street Elementary School,0,1
11/16/2020,Southern Oak Elementary School,1,0
11/16/2020,St. Petersburg High School,0,1
11/16/2020,Tarpon Springs Elementary School,1,1
11/13/2020,Curtis Fundamental Elementary School,0,2
11/13/2020,Palm Harbor University High School,0,1
11/13/2020,Pinellas Park Elementary School,0,1
11/13/2020,Richard O. Jacobson Technical High School,0,1
11/13/2020,San Jose Elementary School,1,0
11/13/2020,Walter Pownall Service Center,1,0
11/12/2020,Bayside High School,0,1
11/12/2020,Curlew Creek Elementary School,1,0
11/12/2020,Palm Harbor University High School,0,1
11/12/2020,Pinellas Technical College Clearwater,0,1
11/12/2020,Safety Harbor Middle School,0,1
11/12/2020,Seventy-Fourth Street Elementary School,0,1
11/12/2020,Tarpon Springs High School,0,1
11/11/2020,Administration Building,2,0
11/11/2020,Carwise Middle School,0,1
11/11/2020,East Lake High School,0,2
11/11/2020,Forest Lakes Elementary School,0,2
11/11/2020,Frontier Elementary School,0,1
11/11/2020,Gulf Beaches Elementary School,0,1
11/11/2020,Hollins High School,0,1
11/11/2020,Oak Grove Middle School,1,0
11/11/2020,Oakhurst Elementary School,0,1
11/11/2020,Pasadena Fundamental Elementary School,0,1
11/11/2020,Safety Harbor Middle School,0,1
11/11/2020,Sawgrass Lake Elementary School,0,1
11/11/2020,Shore Acres Elementary School,0,1
11/11/2020,Sutherland Elementary School,1,0
11/11/2020,Woodlawn Elementary School,1,1
11/10/2020,Countryside High School,0,1
11/10/2020,Forest Lakes Elementary School,1,0
11/10/2020,Palm Harbor Middle School,1,1
11/10/2020,Seminole High School,1,0
11/10/2020,Seminole Middle School,1,0
11/10/2020,St. Petersburg High School,0,1
11/10/2020,Sutherland Elementary School,1,0
11/10/2020,Tarpon Springs High School,1,0
11/10/2020,Tarpon Springs Middle School,1,0
11/10/2020,Thurgood Marshall Fundamental Middle School,1,0
11/9/2020,Administration Building,1,0
11/9/2020,Belcher Elementary School,0,1
11/9/2020,Brooker Creek Elementary School,0,2
11/9/2020,Clearwater High School,0,1
11/9/2020,Cross Bayou Elementary School,0,1
11/9/2020,Dunedin High School,1,0
11/9/2020,Forest Lakes Elementary School,1,1
11/9/2020,Madeira Beach Fundamental,0,1
11/9/2020,Osceola Fundamental High School,0,2
11/9/2020,Osceola Middle School,0,1
11/9/2020,Palm Harbor Middle School,0,1
11/9/2020,Palm Harbor University High School,0,1
11/9/2020,Pinellas Park Middle School,1,0
11/9/2020,Seminole High School,0,1
11/9/2020,Shore Acres Elementary School,0,1
11/9/2020,Starkey Elementary School,0,1
11/6/2020,Administration Building,1,0
11/6/2020,Boca Ciega High School,0,1
11/6/2020,Carwise Middle School,1,0
11/6/2020,Clearwater High School,2,0
11/6/2020,East Lake High School,1,1
11/6/2020,Garrison-Jones Elementary School,1,0
11/6/2020,High Point Elementary School,1,0
11/6/2020,Osceola Fundamental High School,0,1
11/6/2020,Palm Harbor University High School,1,0
11/6/2020,Pinellas Park Elementary School,2,0
11/6/2020,Pinellas Park High School,1,0
11/6/2020,Sandy Lane Elementary School,1,0
11/6/2020,Seminole High School,1,1
11/6/2020,St. Petersburg High School,0,1
11/6/2020,Tarpon Springs Fundamental Elementary School,0,1
11/5/2020,Carwise Middle School,2,0
11/5/2020,Curlew Creek Elementary School,0,1
11/5/2020,Oakhurst Elementary School,1,1
11/5/2020,Osceola Middle School,1,0
11/5/2020,Palm Harbor Middle School,0,1
11/5/2020,Pinellas Gulf Coast Academy,0,1
11/5/2020,Plato Academy Palm Harbor Charter School,0,1
11/5/2020,Plato Academy Pinellas Park Charter School,1,0
11/5/2020,Safety Harbor Middle School,0,1
11/5/2020,Skyview Elementary School,0,1
11/5/2020,Sutherland Elementary School,1,0
11/4/2020,Bauder Elementary School,1,0
11/4/2020,East Lake High School,0,1
11/4/2020,East Lake Middle School,0,1
11/4/2020,High Point Elementary School,0,1
11/4/2020,Northeast High School,0,1
11/4/2020,Palm Harbor Middle School,0,1
11/4/2020,Pinellas Park High School,0,1
11/4/2020,Tyrone Middle School,0,1
11/3/2020,Azalea Elementary School,0,1
11/3/2020,Curlew Creek Elementary School,1,0
11/3/2020,Palm Harbor University High School,1,1
11/3/2020,Ridgecrest Elementary School,0,2
11/3/2020,Sexton Elementary School,1,0
11/3/2020,Southern Oak Elementary School,0,1
11/3/2020,Sutherland Elementary School,0,2
11/2/2020,Azalea Middle School,1,0
11/2/2020,Bay Point Elementary School,1,0
11/2/2020,Bayside High School,0,1
11/2/2020,Fairmount Park Elementary School,1,0
11/2/2020,High Point Elementary School,0,1
11/2/2020,Hollins High School,0,2
11/2/2020,Lakewood Elementary School,1,0
11/2/2020,Ozona Elementary School,0,2
11/2/2020,Pinellas Park High School,1,1
11/2/2020,Plato Academy Pinellas Park Charter School,1,0
11/2/2020,Sandy Lane Elementary School,2,0
11/2/2020,Seminole High School,0,1
10/30/2020,Administration Building,2,0
10/30/2020,Boca Ciega High School,0,1
10/30/2020,Chi Chi Rodriguez Academy,1,0
10/30/2020,Fairmount Park Elementary School,1,0
10/30/2020,High Point Elementary School,1,1
10/30/2020,Lake St. George Elementary School,0,1
10/30/2020,Largo High School,0,3
10/30/2020,Mount Vernon Elementary School,1,0
10/30/2020,Palm Harbor Middle School,1,0
10/30/2020,Palm Harbor University High School,1,0
10/30/2020,Pinellas Park Middle School,0,1
10/30/2020,Pinellas Technical College St. Petersburg,0,1
10/30/2020,Safety Harbor Elementary School,0,1
10/30/2020,Sandy Lane Elementary School,1,0
10/30/2020,Walsingham Elementary School,0,1
10/29/2020,Administration Building,1,0
10/29/2020,Discovery Academy of Science Charter School - North,1,0
10/29/2020,Gulf Beaches Elementary School,0,1
10/29/2020,Nina Harris ESE,1,0
10/29/2020,Oak Grove Middle School,0,2
10/29/2020,Palm Harbor University High School,0,1
10/29/2020,Southern Oak Elementary School,0,1
10/29/2020,Tyrone Middle School,1,1
10/28/2020,Bay Vista Fundamental Elementary School,1,0
10/28/2020,Clearview Adult Education Center,0,1
10/28/2020,Clearwater Adult Education Center,0,2
10/28/2020,Cypress Woods Elementary School,0,1
10/28/2020,East Lake High School,0,1
10/28/2020,Fairmount Park Elementary School,1,0
10/28/2020,Gibbs High School,0,1
10/28/2020,Oakhurst Elementary School,2,0
10/28/2020,Osceola Middle School,0,1
10/28/2020,Palm Harbor University High School,0,1
10/28/2020,Pinellas Primary/Prep Academy Charter,0,2
10/27/2020,Alfred Adler Charter School,1,0
10/27/2020,Countryside High School,0,1
10/27/2020,Largo High School,0,1
10/27/2020,Oak Grove Middle School,0,1
10/27/2020,Shore Acres Elementary School,1,0
10/27/2020,Walter Pownall Service Center,1,0
10/26/2020,Belleair Elementary School,0,1
10/26/2020,Oak Grove Middle School,0,1
10/26/2020,Pinellas Park High School,0,1
10/26/2020,Plato Academy St. Petersburg Charter School,0,1
10/26/2020,Safety Harbor Elementary School,0,1
10/26/2020,Sexton Elementary School,0,1
10/26/2020,St. Petersburg High School,0,1
10/23/2020,Countryside High School,0,2
10/23/2020,Osceola Middle School,0,1
10/23/2020,Seminole Elementary School,2,0
10/22/2020,Brooker Creek Elementary School,0,1
10/22/2020,Hollins High School,0,1
10/22/2020,Largo High School,0,1
10/22/2020,Madeira Beach Fundamental,0,1
10/22/2020,Northeast High School,1,1
10/22/2020,Oak Grove Middle School,0,1
10/22/2020,Palm Harbor University High School,0,1
10/22/2020,Pinellas Technical College St. Petersburg,0,1
10/22/2020,Plato Academy Seminole Charter School,1,0
10/22/2020,Plato Academy Tarpon Springs Charter School,0,2
10/22/2020,Ridgecrest Elementary School,1,0
10/22/2020,Seminole High School,0,1
10/21/2020,Administration Building,2,0
10/21/2020,Bear Creek Elementary School,2,0
10/21/2020,Clearwater Fundamental Middle School,0,1
10/21/2020,East Lake High School,0,1
10/21/2020,Largo Middle School,1,0
10/21/2020,Pasadena Fundamental Elementary School,1,1
10/21/2020,Pinellas Academy of Math and Science Charter,0,1
10/21/2020,Plato Academy St. Petersburg Charter School,0,1
10/21/2020,Richard O. Jacobson Technical High School,0,1
10/21/2020,Seminole High School,0,1
10/21/2020,Seventy-Fourth Street Elementary School,1,0
10/21/2020,Sexton Elementary School,0,1
10/20/2020,Azalea Elementary School,1,0
10/20/2020,Gulfport Elementary School,1,0
10/20/2020,Lakewood High School,1,0
10/20/2020,Orange Grove Elementary School,1,0
10/20/2020,Pinellas Technical College St. Petersburg,0,2
10/20/2020,Seminole Elementary School,1,0
10/20/2020,Seminole High School,0,1
10/19/2020,Bauder Elementary School,0,1
10/19/2020,Belleair Elementary School,0,1
10/19/2020,Clearwater High School,0,1
10/19/2020,Dunedin Highland Middle School,1,0
10/19/2020,Gibbs High School,0,1
10/19/2020,Plato Academy Clearwater Charter School,0,1
10/19/2020,Sexton Elementary School,0,1
10/19/2020,St. Petersburg High School,0,1
10/19/2020,Tarpon Springs High School,0,1
10/16/2020,East Lake High School,0,1
10/16/2020,Morgan Fitzgerald Middle School,0,1
10/16/2020,Oakhurst Elementary School,0,1
10/16/2020,Seminole High School,0,1
10/16/2020,Sexton Elementary School,1,1
10/15/2020,East Lake High School,0,1
10/15/2020,Leila Davis Elementary School,1,0
10/15/2020,Lynch Elementary School,1,0
10/15/2020,Mount Vernon Elementary School,1,0
10/15/2020,Northeast High School,0,1
10/15/2020,Osceola Middle School,1,0
10/15/2020,Pinellas Park High School,0,1
10/15/2020,Plato Academy St. Petersburg Charter School,1,0
10/15/2020,Ridgecrest Elementary School,0,2
10/15/2020,St. Petersburg High School,0,1
10/15/2020,Walter Pownall Service Center,1,0
10/14/2020,Countryside High School,1,0
10/14/2020,Discovery Academy of Science Charter School - North,0,1
10/14/2020,Discovery Academy of Science Charter School – South,0,1
10/14/2020,Hollins High School,0,1
10/14/2020,Lakewood Elementary School,1,0
10/14/2020,Palm Harbor University High School,0,1
