,Date,Locations affected,Number of positive employees,Number of positive students
0,2021-08-19,Academie Da Vinci,0,1
1,2021-08-19,Administration Building,1,0
2,2021-08-19,Azalea Elementary School,0,1
3,2021-08-19,Azalea Middle School,0,1
4,2021-08-19,Bardmoor Elementary School,0,1
5,2021-08-19,Bauder Elementary School,0,2
6,2021-08-19,Bay Point Elementary School,1,4
7,2021-08-19,Bay Point Middle School,0,1
8,2021-08-19,Bay Vista Fundamental Elementary School,0,2
9,2021-08-19,Bayside High School,0,1
10,2021-08-19,Blanton Elementary School,0,1
11,2021-08-19,Boca Ciega High School,0,4
12,2021-08-19,Brooker Creek Elementary School,1,1
13,2021-08-19,Calvin Hunsinger School,1,0
14,2021-08-19,Campbell Park Elementary School,0,1
15,2021-08-19,Carwise Middle School,0,1
16,2021-08-19,Chi Chi Rodriguez Academy,0,1
17,2021-08-19,Clearwater High School,0,1
18,2021-08-19,Cross Bayou Elementary School,0,1
19,2021-08-19,Curlew Creek Elementary School,0,1
20,2021-08-19,Curtis Fundamental Elementary School,0,2
21,2021-08-19,Cypress Woods Elementary School,0,1
22,2021-08-19,Discovery Academy of Science,1,2
23,2021-08-19,Dunedin Elementary School,1,0
24,2021-08-19,Dunedin High School,0,1
25,2021-08-19,East Lake High School,0,6
26,2021-08-19,Eisenhower Elementary School,0,2
27,2021-08-19,Elisa Nelson Elementary School,0,1
28,2021-08-19,Fairmount Park Elementary School,0,1
29,2021-08-19,Forest Lakes Elementary School,0,1
30,2021-08-19,Gibbs High School,0,2
31,2021-08-19,High Point Elementary School,0,1
32,2021-08-19,Hollins High School,0,1
33,2021-08-19,James B. Sanderlin K-8,0,2
34,2021-08-19,John Hopkins Middle School,0,1
35,2021-08-19,Kings Highway Elementary School,0,1
36,2021-08-19,Lakewood Elementary School,0,3
37,2021-08-19,Lakewood High School,0,3
38,2021-08-19,Largo High School,0,7
39,2021-08-19,Largo Middle School,0,3
40,2021-08-19,Madeira Beach Fundamental,0,2
41,2021-08-19,Marjorie Rawlings Elementary School,0,1
42,2021-08-19,McMullen-Booth Elementary School,0,1
43,2021-08-19,Meadowlawn Middle School,0,3
44,2021-08-19,Melrose Elementary School,0,4
45,2021-08-19,Midtown Academy,0,1
46,2021-08-19,Mildred Helms Elementary School,0,2
47,2021-08-19,Mount Vernon Elementary School,1,2
48,2021-08-19,Northeast High School,0,4
49,2021-08-19,Northwest Elementary School,2,0
50,2021-08-19,Oakhurst Elementary School,0,1
51,2021-08-19,Orange Grove Elementary School,0,1
52,2021-08-19,Osceola Fundamental High School,0,6
53,2021-08-19,Osceola Middle School,0,3
54,2021-08-19,Pace Center for Girls,0,1
55,2021-08-19,Palm Harbor University High School,0,4
56,2021-08-19,Pasadena Fundamental Elementary School,0,1
57,2021-08-19,Perkins Elementary School,0,3
58,2021-08-19,Pinellas Central Elementary School,0,1
59,2021-08-19,Pinellas Park Elementary School,0,1
60,2021-08-19,Pinellas Park High School,0,10
61,2021-08-19,Pinellas Park Middle School,0,4
62,2021-08-19,Pinellas Technical College Clearwater,1,2
63,2021-08-19,Pinellas Technical College St. Petersburg,0,1
64,2021-08-19,Plato Academy Palm Harbor,0,2
65,2021-08-19,Plato Academy St. Petersburg,0,1
66,2021-08-19,Plumb Elementary School,0,1
67,2021-08-19,Ponce de Leon Elementary School,0,1
68,2021-08-19,Safety Harbor Elementary School,2,0
