,Date,Locations affected,Number of positive employees,Number of positive students,Total cases
4,2021/08/11,Bear Creek Elementary School,1.0,2.0,3.0
5,2021/08/11,Belcher Elementary School,0.0,1.0,1.0
6,2021/08/11,Brooker Creek Elementary School,1.0,1.0,2.0
7,2021/08/11,Carwise Middle School,1.0,0.0,1.0
8,2021/08/11,Countryside High School,0.0,3.0,3.0
9,2021/08/11,Dunedin High School,0.0,4.0,4.0
10,2021/08/11,Dunedin Highland Middle School,0.0,1.0,1.0
11,2021/08/11,East Lake High School,0.0,2.0,2.0
12,2021/08/11,Fairmount Park Elementary School,1.0,0.0,1.0
13,2021/08/11,Frontier Elementary School,0.0,2.0,2.0
14,2021/08/11,Fuguitt Elementary School,0.0,2.0,2.0
15,2021/08/11,Gibbs High School,0.0,1.0,1.0
16,2021/08/11,Gulfport Elementary School,3.0,0.0,3.0
17,2021/08/11,High Point Elementary School,1.0,0.0,1.0
18,2021/08/11,Highland Lakes Elementary School,0.0,1.0,1.0
19,2021/08/11,Hollins High School,0.0,1.0,1.0
20,2021/08/11,James B. Sanderlin K-8,0.0,1.0,1.0
21,2021/08/11,Kings Highway Elementary School,1.0,0.0,1.0
22,2021/08/11,Lakeview Fundamental Elementary School,1.0,0.0,1.0
23,2021/08/11,Lakewood Elementary School,1.0,0.0,1.0
24,2021/08/11,Lakewood High School,0.0,1.0,1.0
0,2021/08/11,Largo High School,3.0,3.0,6.0
1,2021/08/11,Lealman Avenue Elementary School,1.0,0.0,1.0
2,2021/08/11,Madeira Beach Fundamental,0.0,1.0,1.0
3,2021/08/11,Maximo Elementary School,1.0,0.0,1.0
4,2021/08/11,Meadowlawn Middle School,1.0,0.0,1.0
5,2021/08/11,Melrose Elementary School,0.0,1.0,1.0
6,2021/08/11,Midtown Academy,0.0,1.0,1.0
7,2021/08/11,Mildred Helms Elementary School,1.0,0.0,1.0
8,2021/08/11,New Heights Elementary School,1.0,0.0,1.0
9,2021/08/11,North Shore Elementary School,0.0,2.0,2.0
10,2021/08/11,Northwest Elementary School,1.0,0.0,1.0
11,2021/08/11,Oakhurst Elementary School,0.0,1.0,1.0
12,2021/08/11,Orange Grove Elementary School,1.0,0.0,1.0
13,2021/08/11,Osceola Middle School,0.0,1.0,1.0
14,2021/08/11,Ozona Elementary School,0.0,1.0,1.0
15,2021/08/11,Palm Harbor Middle School,0.0,1.0,1.0
16,2021/08/11,Palm Harbor University High School,0.0,1.0,1.0
17,2021/08/11,Pasadena Fundamental Elementary School,0.0,3.0,3.0
18,2021/08/11,Perkins Elementary School,0.0,3.0,3.0
19,2021/08/11,Pinellas Park High School,1.0,2.0,3.0
20,2021/08/11,Pinellas Secondary School,0.0,1.0,1.0
21,2021/08/11,Richard O. Jacobson Technical High School,0.0,3.0,3.0
22,2021/08/11,Ridgecrest Elementary School,1.0,0.0,1.0
23,2021/08/11,Safety Harbor Elementary School,1.0,0.0,1.0
24,2021/08/11,San Jose Elementary School,0.0,1.0,1.0
0,2021/08/11,Sandy Lane Elementary School,1.0,0.0,1.0
1,2021/08/11,Sawgrass Lake Elementary School,1.0,0.0,1.0
2,2021/08/11,Seminole Middle School,0.0,1.0,1.0
3,2021/08/11,Seventy-Fourth Street Elementary School,0.0,4.0,4.0
4,2021/08/11,Shore Acres Elementary School,0.0,2.0,2.0
5,2021/08/11,St. Petersburg High School,1.0,2.0,3.0
6,2021/08/11,Starkey Elementary School,0.0,1.0,1.0
7,2021/08/11,Sunset Hills Elementary School,0.0,1.0,1.0
8,2021/08/11,Tarpon Springs Elementary School,1.0,0.0,1.0
9,2021/08/11,Tarpon Springs High School,1.0,2.0,3.0
10,2021/08/11,Thurgood Marshall Fundamental Middle School,1.0,1.0,2.0
11,2021/08/11,Tyrone Middle School,1.0,0.0,1.0
12,2021/08/11,Walsingham Elementary School,0.0,2.0,2.0
13,2021/08/11,Walter Pownall Service Center,3.0,0.0,3.0
14,2021/08/10,Administration Building,1.0,0.0,1.0
15,2021/08/10,Belleair Elementary School,1.0,0.0,1.0
16,2021/08/10,Boca Ciega High School,1.0,1.0,2.0
17,2021/08/10,Clearwater High School,1.0,0.0,1.0
18,2021/08/10,Countryside High School,1.0,0.0,1.0
19,2021/08/10,Curtis Fundamental Elementary School,1.0,0.0,1.0
20,2021/08/10,Dunedin High School,2.0,0.0,2.0
21,2021/08/10,Garrison-Jones Elementary School,1.0,0.0,1.0
22,2021/08/10,Gulfport Elementary School,1.0,0.0,1.0
23,2021/08/10,Lealman Avenue Elementary School,0.0,1.0,1.0
24,2021/08/10,Marjorie Rawlings Elementary School,1.0,0.0,1.0
0,2021/08/10,Maximo Elementary School,1.0,0.0,1.0
1,2021/08/10,Nina Harris ESE,1.0,0.0,1.0
2,2021/08/10,Oakhurst Elementary School,1.0,0.0,1.0
3,2021/08/10,Osceola Fundamental High School,0.0,1.0,1.0
4,2021/08/10,Osceola Middle School,1.0,0.0,1.0
5,2021/08/10,Ridgecrest Elementary School,1.0,0.0,1.0
6,2021/08/10,Southern Oak Elementary School,1.0,0.0,1.0
7,2021/08/10,St. Petersburg High School,1.0,0.0,1.0
8,2021/08/10,Sunset Hills Elementary School,1.0,0.0,1.0
9,2021/08/10,Tarpon Springs Fundamental Elementary School,1.0,0.0,1.0
10,2021/08/10,Tarpon Springs High School,1.0,0.0,1.0
11,2021/08/10,Walter Pownall Service Center,1.0,0.0,1.0
12,2021/08/10,Westgate Elementary School,1.0,0.0,1.0
13,2021/08/10,Woodlawn Elementary School,0.0,1.0,1.0
14,2021/08/09,Administration Building,5.0,0.0,5.0
15,2021/08/09,Azalea Elementary School,1.0,0.0,1.0
16,2021/08/09,Azalea Middle School,3.0,0.0,3.0
17,2021/08/09,Bardmoor Elementary School,4.0,0.0,4.0
18,2021/08/09,Bauder Elementary School,2.0,2.0,4.0
19,2021/08/09,Bay Point Middle School,0.0,1.0,1.0
20,2021/08/09,Bay Vista Fundamental Elementary School,0.0,1.0,1.0
21,2021/08/09,Bayside High School,1.0,0.0,1.0
22,2021/08/09,Bear Creek Elementary School,1.0,0.0,1.0
23,2021/08/09,Belleair Elementary School,3.0,0.0,3.0
24,2021/08/09,Bernice Johnson Center,2.0,0.0,2.0
0,2021/08/09,Blanton Elementary School,2.0,0.0,2.0
1,2021/08/09,Boca Ciega High School,1.0,0.0,1.0
2,2021/08/09,Brooker Creek Elementary School,1.0,1.0,2.0
3,2021/08/09,Calvin Hunsinger School,2.0,0.0,2.0
4,2021/08/09,Carwise Middle School,4.0,3.0,7.0
5,2021/08/09,Clearwater High School,1.0,0.0,1.0
6,2021/08/09,Cross Bayou Elementary School,2.0,0.0,2.0
7,2021/08/09,Curlew Creek Elementary School,1.0,0.0,1.0
8,2021/08/09,Cypress Woods Elementary School,5.0,1.0,6.0
9,2021/08/09,Disston Academy,2.0,0.0,2.0
10,2021/08/09,Dunedin Elementary School,4.0,0.0,4.0
11,2021/08/09,Dunedin High School,2.0,1.0,3.0
12,2021/08/09,Dunedin Highland Middle School,0.0,2.0,2.0
13,2021/08/09,East Lake High School,1.0,1.0,2.0
14,2021/08/09,East Lake Middle School,1.0,0.0,1.0
15,2021/08/09,Eisenhower Elementary School,1.0,2.0,3.0
16,2021/08/09,Forest Lakes Elementary School,1.0,2.0,3.0
17,2021/08/09,Frontier Elementary School,1.0,0.0,1.0
18,2021/08/09,Fuguitt Elementary School,1.0,0.0,1.0
19,2021/08/09,Garrison-Jones Elementary School,3.0,0.0,3.0
20,2021/08/09,Gibbs High School,2.0,0.0,2.0
21,2021/08/09,Gulfport Elementary School,1.0,0.0,1.0
22,2021/08/09,High Point Elementary School,3.0,0.0,3.0
23,2021/08/09,Hollins High School,2.0,2.0,4.0
24,2021/08/09,James B. Sanderlin K-8,1.0,0.0,1.0
0,2021/08/09,John Hopkins Middle School,1.0,0.0,1.0
1,2021/08/09,Kings Highway Elementary School,1.0,0.0,1.0
2,2021/08/09,Lakewood Elementary School,1.0,0.0,1.0
3,2021/08/09,Lakewood High School,2.0,0.0,2.0
4,2021/08/09,Largo High School,1.0,0.0,1.0
5,2021/08/09,Lealman Innovation Academy,1.0,0.0,1.0
6,2021/08/09,Lynch Elementary School,1.0,0.0,1.0
7,2021/08/09,Madeira Beach Fundamental,0.0,3.0,3.0
8,2021/08/09,Maximo Elementary School,3.0,0.0,3.0
9,2021/08/09,McMullen-Booth Elementary School,1.0,1.0,2.0
10,2021/08/09,Meadowlawn Middle School,0.0,1.0,1.0
11,2021/08/09,Melrose Elementary School,3.0,0.0,3.0
12,2021/08/09,Midtown Academy,2.0,0.0,2.0
13,2021/08/09,Mount Vernon Elementary School,1.0,0.0,1.0
14,2021/08/09,North Shore Elementary School,2.0,0.0,2.0
15,2021/08/09,Northwest Elementary School,1.0,0.0,1.0
16,2021/08/09,Oak Grove Middle School,1.0,0.0,1.0
17,2021/08/09,Oakhurst Elementary School,0.0,2.0,2.0
18,2021/08/09,Orange Grove Elementary School,0.0,1.0,1.0
19,2021/08/09,Osceola Fundamental High School,2.0,2.0,4.0
20,2021/08/09,Osceola Middle School,2.0,0.0,2.0
21,2021/08/09,Ozona Elementary School,3.0,0.0,3.0
22,2021/08/09,Palm Harbor Middle School,1.0,1.0,2.0
23,2021/08/09,Palm Harbor University High School,1.0,6.0,7.0
24,2021/08/09,Pasadena Fundamental Elementary School,1.0,1.0,2.0
0,2021/08/09,Paul B. Stephens ESE Center,1.0,0.0,1.0
1,2021/08/09,Perkins Elementary School,1.0,0.0,1.0
2,2021/08/09,Pinellas Central Elementary School,1.0,0.0,1.0
3,2021/08/09,Pinellas Gulf Coast Academy,1.0,0.0,1.0
4,2021/08/09,Pinellas Park Elementary School,1.0,1.0,2.0
5,2021/08/09,Pinellas Park High School,2.0,1.0,3.0
6,2021/08/09,Pinellas Park Middle School,0.0,1.0,1.0
7,2021/08/09,Pinellas Technical College Clearwater,1.0,1.0,2.0
8,2021/08/09,Pinellas Technical College St. Petersburg,3.0,0.0,3.0
9,2021/08/09,Plumb Elementary School,1.0,0.0,1.0
10,2021/08/09,Richard L. Sanders School,1.0,0.0,1.0
11,2021/08/09,Richard O. Jacobson Technical High School,0.0,1.0,1.0
12,2021/08/09,Ridgecrest Elementary School,2.0,0.0,2.0
13,2021/08/09,Safety Harbor Elementary School,1.0,1.0,2.0
14,2021/08/09,Safety Harbor Middle School,2.0,0.0,2.0
15,2021/08/09,Sandy Lane Elementary School,1.0,0.0,1.0
16,2021/08/09,Seminole Elementary School,1.0,0.0,1.0
17,2021/08/09,Seminole High School,1.0,0.0,1.0
18,2021/08/09,Seminole Middle School,0.0,3.0,3.0
19,2021/08/09,Sexton Elementary School,1.0,0.0,1.0
20,2021/08/09,Shore Acres Elementary School,1.0,0.0,1.0
21,2021/08/09,Skycrest Elementary School,3.0,1.0,4.0
22,2021/08/09,Skyview Elementary School,1.0,0.0,1.0
23,2021/08/09,Southern Oak Elementary School,0.0,1.0,1.0
24,2021/08/09,St. Petersburg High School,1.0,0.0,1.0
0,2021/08/09,Starkey Elementary School,1.0,2.0,3.0
1,2021/08/09,Sunset Hills Elementary School,2.0,0.0,2.0
2,2021/08/09,Sutherland Elementary School,1.0,2.0,3.0
3,2021/08/09,Tarpon Springs Elementary School,3.0,1.0,4.0
4,2021/08/09,Tarpon Springs High School,0.0,2.0,2.0
5,2021/08/09,Tarpon Springs Middle School,0.0,1.0,1.0
6,2021/08/09,Thurgood Marshall Fundamental Middle School,0.0,1.0,1.0
7,2021/08/09,Tomlinson Adult Education Center,2.0,0.0,2.0
8,2021/08/09,Tyrone Middle School,1.0,0.0,1.0
9,2021/08/09,Walter Pownall Service Center,8.0,0.0,8.0
10,2021/08/09,Westgate Elementary School,0.0,1.0,1.0
11,2021/08/01,Administration Building,6.0,0.0,6.0
12,2021/08/01,Anona Elementary School,1.0,0.0,1.0
13,2021/08/01,Bauder Elementary School,2.0,1.0,3.0
14,2021/08/01,Campbell Park Elementary School,1.0,0.0,1.0
15,2021/08/01,Dunedin Elementary School,1.0,0.0,1.0
16,2021/08/01,Dunedin High School,0.0,1.0,1.0
17,2021/08/01,Frontier Elementary School,1.0,0.0,1.0
18,2021/08/01,Lake St. George Elementary School,1.0,1.0,2.0
19,2021/08/01,Lakewood Elementary School,1.0,0.0,1.0
20,2021/08/01,Lakewood High School,1.0,0.0,1.0
