,Date,Locations affected,Number of positive employees,Number of positive students,Total cases
22,2021/08/12,Ozona Elementary School,0.0,1.0,1.0
23,2021/08/12,Palm Harbor Middle School,0.0,1.0,1.0
24,2021/08/12,Palm Harbor University High School,0.0,5.0,5.0
0,2021/08/12,Pasadena Fundamental Elementary School,0.0,1.0,1.0
1,2021/08/12,Paul B. Stephens ESE Center,1.0,2.0,3.0
2,2021/08/12,Perkins Elementary School,0.0,1.0,1.0
3,2021/08/12,Pinellas Park Elementary School,0.0,1.0,1.0
4,2021/08/12,Pinellas Park High School,0.0,1.0,1.0
5,2021/08/12,Plumb Elementary School,0.0,1.0,1.0
6,2021/08/12,Ponce de Leon Elementary School,0.0,1.0,1.0
7,2021/08/12,Richard L. Sanders School,1.0,0.0,1.0
8,2021/08/12,Richard O. Jacobson Technical High School,0.0,2.0,2.0
9,2021/08/12,Ridgecrest Elementary School,0.0,1.0,1.0
10,2021/08/12,Sandy Lane Elementary School,1.0,0.0,1.0
11,2021/08/12,Sawgrass Lake Elementary School,1.0,0.0,1.0
12,2021/08/12,Seventy-Fourth Street Elementary School,0.0,1.0,1.0
13,2021/08/12,Sexton Elementary School,1.0,0.0,1.0
14,2021/08/12,Shore Acres Elementary School,0.0,1.0,1.0
15,2021/08/12,Skyview Elementary School,0.0,2.0,2.0
16,2021/08/12,Southern Oak Elementary School,0.0,1.0,1.0
17,2021/08/12,Starkey Elementary School,0.0,3.0,3.0
18,2021/08/12,Sunset Hills Elementary School,0.0,1.0,1.0
19,2021/08/12,Tarpon Springs High School,1.0,0.0,1.0
20,2021/08/12,Tomlinson Adult Education Center,1.0,0.0,1.0
21,2021/08/12,Westgate Elementary School,1.0,0.0,1.0
22,2021/08/12,Woodlawn Elementary School,0.0,1.0,1.0
23,2021/08/11,Administration Building,1.0,0.0,1.0
24,2021/08/11,Anona Elementary School,0.0,1.0,1.0
0,2021/08/11,Azalea Middle School,1.0,0.0,1.0
1,2021/08/11,Bardmoor Elementary School,0.0,4.0,4.0
2,2021/08/11,Bay Point Elementary School,0.0,2.0,2.0
3,2021/08/11,Bay Point Middle School,1.0,0.0,1.0
